Ticker,Name,R&D Exp:CY,CAPEX:CY,Tot Assets:CY,Debt/Assets:CY,Curr Ratio:CY,EBIT:CY,ROA:CY,AZS
AXE CN Equity,ACCELEWARE LTD,254740,0,1509927,162.5753,0.3875,-1969529,-101.2872, 
ACN US Equity,ACCENTURE PLC-CL A,1150429952,-516508992,55932362752,7.367,1.0992,9595846656,13.5565,8.5136
ACCS US Equity,ACCESS NEWSWIRE INC,2551000,-25000,65152000,32.6943,0.9094,2816000,1.1652,4.8086
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,48500000,-638000,273968000,8.1462,1.7955,9939000,3.0641,6.5642
ACCON SS Equity,ACCONEER AB,36225000,-2145000,199220000,13.7787,1.8918,-46807000,-23.8562,6.8403
ACIW US Equity,ACI WORLDWIDE INC,140758000,-8924000,3444739072,31.2484,1.3561,220408000,3.6519,5.1604
ACMR US Equity,ACM RESEARCH INC-CLASS A,92709000,-61876000,1490908032,6.6467,2.3491,95839000,5.6741,2.4366
ACFN US Equity,ACORN ENERGY INC,875000,0,5449000,4.0558,0.8761,74000,2.0817,-20.4581
EOS FP Equity,ACTEOS,1532000,-929551,14989815,26.1857,0.8646,-50562,-0.8734,0.7468
AOM LN Equity,ACTIVEOPS PLC, ,-179000,30035000,1.0255,1.1713,855000,2.8979,3.5489
MLACT FP Equity,ACTIVIUM GROUP, , ,8092522,20.0403,0.4223,-220382,-2.9613,0.8769
ACRM LN Equity,ACUITY RM GROUP PLC,0,0,6994000,4.5611,0.7796,-913000,-32.4383,-7.8644
ACVA US Equity,ACV AUCTIONS INC-A,0,-28170000,922924032,14.2678,2.1168,-89677000,-8.1901,3.3928
ANODB SS Equity,ADDNODE GROUP AB,51000000,-26000000,7197000192,23.1902,0.9861,404000000,4.1654, 
ADEA US Equity,ADEIA INC,54264000,-3812000,1105555968,53.903,2.0173,136230000,5.8178,2.9696
ADN1 GR Equity,ADESSO SE, ,-26376000,785985024,41.7265,1.3591,22307000,0.4447,2.9596
ALARF FP Equity,ADEUNIS RF SACA,0, ,6829000,25.4942,2.0689,-909000,-8.7402,0.8084
ADMCM FH Equity,ADMICOM OYJ,349927,-366390,40583872,10.0546,1.965,8823363,14.0073,19.0121
ADBE US Equity,ADOBE INC,3944000000,-183000000,30229999616,20.0331,1.0676,6741000192,18.5306,14.3607
ADTN US Equity,ADTRAN HOLDINGS INC,258311008,-43121000,1682512000,13.9161,2.6362,-221271008,-14.7649,-0.6705
ADV GR Equity,ADTRAN NETWORKING SE,105642000,-18995000,657820992,6.7061,2.4591,13302000,-2.2231,4.6642
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, , ,9748968,0, ,-2030319.875,-14.6751, 
ABX GR Equity,ADVANCED BLOCKCHAIN AG,0, ,22541774,0,16.8649,1745671.5,8.5914,3.3291
AMD US Equity,ADVANCED MICRO DEVICES,5872000000,-546000000,67884998656,4.5798,2.5068,401000000,1.2608,14.4321
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , , 
ADGO US Equity,ADVANTEGO CORP, ,0,9538,35688.2461,0.0025,-1047475,-2420.4006,-12331.981
ADVE SS Equity,ADVENICA AB,36446000,-2706000,183936000,15.2743,2.0208,-4898000,-2.2679,3.2045
AEHR US Equity,AEHR TEST SYSTEMS,8719000,-749000,127912000,4.8447,9.3118,10078000,29.3345,12.7291
ALMU US Equity,AELUMA INC,2506507,-321838,3844047,27.8338,2.2226,-4563308,-82.8914,8.3031
AERT US Equity,AERIES TECHNOLOGY INC, ,0,235076816,0.0851,0.09,-4463907,4.1654,6.8791
AERS US Equity,AERIUS INC, , , , , , , , 
AMEN SM Equity,AETERNAL MENTIS, ,-1262324,32978394,76.6822,3.5418,619271,0.9163,3.7965
AFRN LN Equity,AFERIAN PLC,5421000,-5471000,52016000,28.3182,0.7689,-63934000,-71.6573,-20.184
AFFN US Equity,AFFINITY NETWORKS INC, , , , , , , , 
AFTM US Equity,AFTERMASTER INC,5623,-1907,1093447,534.7397,0.0725,-3927534,-829.0439, 
AGET CN Equity,AGEDB TECHNOLOGY LTD, , ,214075,0,9.0106,-129372,-71.811, 
AIFS US Equity,AGENT INFORMATION SOFTWARE I,408425,-184323,6047621,0,1.7329,453991,6.667, 
AGIL SM Equity,AGILE CONTENT SA,0,-439797.125,129292184,27.8158,1.0236,3118217.25,0.018,2.9548
AGILQ US Equity,AGILETHOUGHT INC, ,-1018000,215239008,38.1673,0.645,-12927000,-9.2452,-5.7874
AGILC DC Equity,AGILLIC A/S, ,0,47171000,52.8057,0.2973,-11357000,-55.0317,-4.1054
AGYS US Equity,AGILYSYS INC,56739000,-8127000,350430016,6.8179,2.1141,15753000,29.048,12.4861
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ,5556000,-143000,28191000,20.7407,3.6455,-12892000,-40.6914,3.0629
AINO SS Equity,AINO HEALTH AB, , ,13514000,0,0.3798,-10666000,-69.1196, 
AIRG US Equity,AIRGAIN INC,10505000,-346000,42229000,3.6444,1.9098,-12400000,-25.7231,0.6609
IQ CN Equity,AIRIQ INC,103000,-8000,9108000,0,3.507,814000,9.906,-6.4957
AISP US Equity,AIRSHIP AI HOLDINGS INC,2729492,0,6982575,0,0.4797,-6640365,9.7332,1.2695
AISX CN Equity,AISIX SOLUTIONS INC,139833,-14753,1002813,15.862,4.2118,-1667566,-128.4752, 
AIXIAB SS Equity,AIXIA GROUP AB, ,-309000,51678000,28.6853,0.8595,-4047000,-7.7107, 
AIXA GR Equity,AIXTRON SE,87681000,-60169000,1029945984,0.5453,3.1218,155622000,15.0254,7.248
AKAM US Equity,AKAMAI TECHNOLOGIES INC,406048000,-730040000,9900037120,45.8178,2.1588,637337984,6.0168,3.3334
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,29989000,-5992000,69741000,75.799,0.4358,-109991000,-153.6189,-24.7792
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , , 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,3100000,-600000,75100000,10.9188,1.4844,30100000,31.0026,14.4454
ALFIQ US Equity,ALFI INC,0,-5603802,11373005,0,2.2531,-18186236,-292.9477,0.5514
ALFO IM Equity,ALFONSINO SPA,968422,-34892,5326208,28.6844,1.0215,-1788849,-23.8319,-1.4298
RIME US Equity,ALGORHYTHM HOLDINGS INC,100000,-243729,16648597,4.8019,2.4813,-3698284,-23.5967,1.4574
ALHC US Equity,ALIGNMENT HEALTHCARE INC, ,-35995000,591880000,29.1451,1.8384,-127817000,-24.1514,3.8254
ALYA CN Equity,ALITHYA GROUP INC-CLASS A,0,-746000,416496992,30.9491,1.193,-4742000,-3.7838,2.4802
ALKT US Equity,ALKAMI TECHNOLOGY INC,84661000,-1058000,399824992,4.8164,3.7683,-63705000,-14.1583,21.2569
A1OS GR Equity,ALL FOR ONE GROUP SE,0,-3508000,343115008,34.4817,1.5318,28618000,5.3046,3.8143
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, ,0,18081,897.8154,0.2823,526100,-136.7937, 
ADGL US Equity,ALLDIGITAL HOLDINGS INC,0,-78082,1479216,50.7025,1.0665,-1876555,-108.1707,-9.9431
ALGM US Equity,ALLEGRO MICROSYSTEMS INC,176638000,-124772000,1530603008,17.9803,4.853,196244000,11.2618,6.2545
AEIN GR Equity,ALLGEIER SE, ,-28301000,524755008,48.3925,1.2419,32220000,2.5197,3.8805
ADSV US Equity,ALLIED SECURITY INNOVATIONS,88801,0,718563,2508.9043,0.0221,-460030,-249.042,-128.0634
AIW IM Equity,ALMAWAVE SPA,0,-38000,118144000,3.2807,1.5827,8822000,8.4912,3.361
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,89940000,-37088000,1145012992,5.87,2.5805,-3756000,-0.9452,4.2494
