Ticker,Name,EBIT/Tot Int Exp:2024,EBIT/Tot Int Exp:2023,EBIT/Tot Int Exp:2022,EBIT/Tot Int Exp:2021,EBIT/Tot Int Exp:2020C,EBIT/Tot Int Exp:2019,EBIT/Tot Int Exp:2018,EBIT/Tot Int Exp:2017,EBIT/Tot Int Exp:2016
BL US Equity,BLACKLINE INC,2.1165,2.4327,-9.6065,-0.6135,-0.8533,-3.2253,-7459,-2339.1538,-5.7205
BLN CN Equity,BLACKLINE SAFETY CORP,-16.4052, , , , , , , , 
BZAI US Equity,BLAIZE HOLDINGS INC, , , , , , , , , 
BCDS US Equity,BLAQCLOUDS INC, , , , , , , , , 
BLND US Equity,BLEND LABS INC-A,-7.3544,-5.0703,-30.0999,-17.4875, , , , , 
BITE CN Equity,BLENDER BITES LTD, ,-1456.2106,-2572.895, , , ,-176.1059, , 
BITK CN Equity,BLOCKCHAINK2 CORP, , , , , , ,-809.8776, , 
BDRL US Equity,BLONDER TONGUE LABORATORIES,-0.8138,-1.451,-2.7009,-5.7588,-20.6203,-1.7854,-1.5196,0.6404,-1.6286
BLMZ US Equity,BLOOMZ INC, , , , , , , , , 
BMIT MV Equity,BMIT TECHNOLOGIES PLC,5.3808,23.7329,39.7454,36.6667,33.7234,53.3723, , , 
BWLK CN Equity,BOARDWALKTECH SOFTWARE CORP, , , ,-1.1692,-4.2513,-6.1854, , , 
BOKU LN Equity,BOKU INC-REG S,27.8552,124.5641,10.3091,19.8878,-54.2955,-4.9111,-3.8288,-0.4433,-17.1368
BAH US Equity,BOOZ ALLEN HAMILTON HOLDINGS,5.8612,3.7284,7.4192,9.2823,6.9018,6.7294,6.3174,7.7731,6.2781
BOREF US Equity,BOREALIS EXPLORATION LTD, , , , ,-257.8346, , , , 
BRRN US Equity,BORN INC, , , , , , , , , 
BOUV NO Equity,BOUVET ASA,20.7218,46.5241,59.8468,67.5712,59.6547,44.5738,1841.9423,1052.0948,401.1283
BOMO US Equity,BOWMO INC, , , , , , , , , 
BOX US Equity,BOX INC - CLASS A, , , , , , , , , 
BOXL US Equity,BOXLIGHT CORP - CLASS A,-1.8991,-2.4262,0.3073,-0.7602,-4.5144,-4.4931,-8.3116,-11.3968,-1.572
TBH US Equity,BRAG HOUSE HOLDINGS INC,-0.6845,-0.7158,-7.9094, , , , , , 
BRAG CN Equity,BRAGG GAMING GROUP INC,-3.4532,-2.8051,-3.7466,-26.5388,-33.6997,-197.0976,-311.6107, , 
BRAINP DC Equity,BRAIN+ A/S,-133.1461,-7.7263,-235.7341,-3.7424,-6.127,-4.024,-4.8561,-4.6222,-2.9881
BNAI US Equity,BRAND ENGAGEMENT NETWORK INC,-179.7234, , , , , , , , 
BVTK US Equity,BRAVATEK SOLUTIONS INC, , , , ,-16.8268, ,-16.8268,-1.7394,-3.8924
BRZE US Equity,BRAZE INC-A, , , , , , , , , 
BLIN US Equity,BRIDGELINE DIGITAL INC,-33.0984,-52.4603, ,-1.3398,-234.8571,-36.4079,-29.9957,-6.8905,-3.8764
BTSR US Equity,BRIGHTSTAR INFORMATION TECH, , , , ,-1.7923, , , , 
BRILL SS Equity,BRILLIANT FUTURE AB,-390.4286,-37.1506,-48.6561,-284.4348,-316.4167,177.5556,882.3889,3908, 
BRIX SS Equity,BRIOX AB,-28287, , ,-24.0907,-536.6512,-403.26,-37.1189,-18.2456,-45.6617
AVGO US Equity,BROADCOM INC,3.4058,9.992,8.1894,4.5194,2.2589,2.385,8.1768,5.2489,-0.6991
ALBPK FP Equity,BROADPEAK,-18.0778,-77.5413,-5.3849,3.0498,-0.3366, , , , 
BRKO US Equity,BROKE OUT INC, , , , , , , , , 
BRQL US Equity,BROOQLY INC,-3.495,-9.1625, , , , , , , 
BTQ CN Equity,BTQ TECHNOLOGIES CORP,-104.4767, , , , , , , , 
BZWR US Equity,BUSINESS WARRIOR CORP, , , , , , , , , 
BYIT LN Equity,BYTES TECHNOLOGY GROUP PLC,144.3053,103.6314,71.5705,139.0881,363.9512,18695,176.5172, , 
CMI CN Equity,C-COM SATELLITE SYSTEMS INC, , , , , , , , , 
AI US Equity,C3.AI INC-A, , , , , , , , , 
ALCAB FP Equity,CABASSE SA, ,-2.5417,-7.1836, ,-22.0623, , , ,-22.0623
CACI US Equity,CACI INTERNATIONAL INC -CL A, , , , , , , , , 
CDNS US Equity,CADENCE DESIGN SYS INC,17.7734,34.5786,46.8163,45.8827,31.1124,26.1191,17.123,12.6229,10.3465
CSOC US Equity,CADUCEUS SOFTWARE SYSTEMS CO, , , , , , , , , 
CAG SS Equity,CAG GROUP AB,10.5819,11.0016,17.8175,17.9191,26.1078,23.5176,24.3026,46.1164,51.4325
CNO CN Equity,CALIFORNIA NANOTECHNOLOGIES,5.9893,1.6947,2.7858,-2.0475,0.184,0.1786,-1.386,-8.1223,-8.299
CALX US Equity,CALIX INC, , ,36.7388,57.5841,23.2467, , , ,-48.0667
CLX LN Equity,CALNEX SOLUTIONS PLC,-30.85,278.2308,299.65,21.1097,8.181,6.1215,2.6084, , 
CBEX US Equity,CAMBEX CORP, , , , , , , , , 
CMBM US Equity,CAMBIUM NETWORKS CORP, ,-24.1388,10.0556,8.531,4.4964,0.1611,0.7828,2.9639,1.6114
CANATU FH Equity,CANATU PLC,-2.2609,-2.4032,-0.5253, , , , , , 
COK GR Equity,CANCOM SE,6.9202,9.5862,10.8328,21.0043,15.5896,17.9022,33.0537,24.3911,15.7424
WPR CN Equity,CANPR TECHNOLOGY LTD, , , , , , , , , 
CTLP US Equity,CANTALOUPE INC,4.8292,0.3267,-5.0706,-2.1692,-15.2453,-9.4195,-2.9704,-1.8555,-2.445
CAP FP Equity,CAPGEMINI SE,13.0889,18.0462,22.5755,16.5676,14.1698,22.0462,20.5082,21.5091,8.8992
CAPC US Equity,CAPSTONE COMPANIES INC,-10.9499,-15.759,-41.924,-48.1046, ,-290.986, ,26.4635,11.8766
CARA SS Equity,CARASENT AB,-23.6144,-37.0387,-1.0683,14.9319,4.9884,17.1686,-87.6494, , 
AUTO CN Equity,CARBEEZA INC,-6.7268, , , ,-1.5523,-2.1875,-8.089,-24.2202, 
CBRJ US Equity,CARBON RACE CORP, , , , , , , , , 
EKG CN Equity,CARDIOCOMM SOLUTIONS INC,-7.6755,-7.2387,-3.3514,-7.132,-1.3153,-14.7657,-9.0376,2.5339,0.8104
CXCQ US Equity,CARDXX INC, , , , , , , , , 
CCLD US Equity,CARECLOUD INC,10.1344,-39.4598,16.321,7.756,-16.9488,0.1759,-7.2325,-3.415,-11.5836
CSPN CN Equity,CARESPAN HEALTH INC,-6.2212,-13.2311, ,-343.5655,-549.9286, , , , 
CRVW US Equity,CAREVIEW COMMUNICATIONS INC,-0.4915,-0.2145,-0.2029,-0.1282,-0.1773,-0.3041,-0.2932,-0.491,-0.501
CRSM US Equity,CARSMARTT INC, , , , , , , , , 
CTM US Equity,CASTELLUM INC, , , , , , , , , 
CTAI LN Equity,CATENAI PLC, , , , ,-30.4136,-646.456,-454.4683,-1496.4667,-829.6802
CBIT CN Equity,CATHEDRA BITCOIN INC,0.69,-1.9142,-12.2853,16.1102,-242.2721, , , , 
CBRAIN DC Equity,CBRAIN A/S,31.3381,18.7703,59.3498,74.3071,65.0377,59.6356,21.0159,44.8155,45.3404
CCCS US Equity,CCC INTELLIGENT SOLUTIONS HO,1.2399,-0.3763,1.3317,-2.4525,0.9997,-1.8575,0.2758, , 
CCUR US Equity,CCUR HOLDINGS INC, , , , , , ,-1829,-5722, 
CDW US Equity,CDW CORP/DE, , , , , , , , , 
CEOS US Equity,CECORS INC, , , , , , , , , 
CGM FP Equity,CEGEDIM SA,0.6711,2.188,3.4735,6.2531,2.868,2.6052,1.7449,1.8188,0.0718
CLBS LN Equity,CELEBRUS TECHNOLOGIES PLC,259.7647,47.8889,88.3333,118.625, ,802.1429,125.2667,87.3556,42.0789
CLTY US Equity,CELERITY SOLUTIONS INC, , , , , , , , , 
CLS CN Equity,CELESTICA INC,60.5354,35.2396,32.5062,25.4091,20.9672,22.6212,4.3566,14.1782,15.67
CELL IM Equity,CELLULARLINE SPA,3.0417,1.8201,-62.3835,-7.2464,-2.2392,11.1641,21.6246,16.6668, 
CSH GR Equity,CENIT AG,2.642,5.2102,14.8353,39.8408,20.1117,32.1897,127.9437,77.241,592.15
CTNK GR Equity,CENTROTHERM INTERNATIONAL AG,33.788,14.2607,11.1556,13.3259,-10.2665,-13.7642,2.0268,13.5866,-1.554
CEK GR Equity,CEOTRONICS AG,4.4547,14.7529,21.7186,17.7979,10.3347,3.2,-3.2013,8.5509,-3.6848
CRNC US Equity,CERENCE INC,-46.199,-1.8416,-12.8071,4.3291,0.8502, , , , 
CER LN Equity,CERILLION PLC,167.3818,128.3782,73.5045,45.8832,13.0882,31.7182,18.8525,17.9325,2.167
CBP CN Equity,CERTIVE SOLUTIONS INC, ,-1.5694,-2.5279,-1.8169,-1.9986,-3.0251,-6.5988,-6.9241,-6.0079
CEVA US Equity,CEVA INC, , , , , , , , , 
GIB/A CN Equity,CGI INC,30.0312,27.132,24.2197,19.2734,14.9962,27.6379,24.9251,23.9991,21.8232
CHMP US Equity,CHAMPION INDUSTRIES INC/WV, , , , ,-0.2463, , , , 
CCA AU Equity,CHANGE FINANCIAL LTD,-146.5522,-30.0296,-36.3632,-176.5493,-11.5268,-37.0003, , , 
CHARGE SS Equity,CHARGEPANEL AB (PUBL),-8.2179,-33.4324,-15329,-405.2,-4,2.5,28.6741, , 
CHECK SS Equity,CHECKIN.COM GROUP AB,-20.1611,3.7657,-8.2659,-48.4928,-8.2152,-34.1934, , , 
CKT LN Equity,CHECKIT PLC, , , , , , , , ,10
MLCHE FP Equity,CHEOPS TECHNOLOGY, , , , ,29.7371, , , , 
C3RY GR Equity,CHERRY SE,-18.161,-49.2608,-19.6436,1.9896,-2.977, , , , 
CHYM US Equity,CHIME FINANCIAL INC-CL A, , , , , , , , , 
CMNT US Equity,CHINA MULANS NANO TECHNOLOGY, , , , , , , , , 
MLTV BB Equity,CHOICE NV, , , ,-125.8571, , , , , 
CNCN US Equity,CHUN CAN CAPITAL GROUP, , , , , , , , , 
ALCBX FP Equity,CIBOX INTER@CTIVE,-15.446,-3.093,-5.5475,-0.169,1.4938,-2.025,0,1.4009,1.0792
CIEN US Equity,CIENA CORP,1.7172,4.0618,4.7356,16.0637,15.5475,9.2589,4.162,3.8445,2.7564
CINT SS Equity,CINT GROUP AB,-0.8575,-45.7273,-70.1891,-28.7483,3.3718,-0.288,-3.6114, , 
CRTA LN Equity,CIRATA PLC,-197.5921,-7.6707,-373.5182,-231.593,-109.7314,-51.5731,-51.5233,-43.0889,-96.3602
CIRC IM Equity,CIRCLE SPA, , ,33.4264,24.701,3.1172,102.5213,233.1589,96.3183, 
CA1 GR Equity,CIRCUS SE, ,-482.2825, , , , , , , 
CRUS US Equity,CIRRUS LOGIC INC,375.3727,277.3174,386.4325,224.3917,164.1249,95.3349,227.6331,88.0694,54.4773
CSCO US Equity,CISCO SYSTEMS INC,12.1083,35.2014,38.8028,29.5691,23.2821,16.553,13.053,13.9059,18.7278
CISO US Equity,CISO GLOBAL INC, , , , , , , , , 
CNWT US Equity,CISTERA NETWORKS INC, , , , ,-0.3027, , , , 
CLTE CN Equity,CLARA TECHNOLOGIES CORP, , , , , , , , , 
CLA FP Equity,CLARANOVA SE,3.9114,3.86,2.8125,6.1842,9.75,0.2375,-2.2593,-8.624,-389.6418
CLAV SS Equity,CLAVISTER AB, ,-0.8503,-1.217,-1.9595,-1.8513,-2.6192,-4.1541,-10.8507,-13.3631
CTEK CN Equity,CLEANTEK INDUSTRIES INC,1.9607,0.4314,-2.214, ,-834.5393,-100.7783,-596.8669,-259.2073,-107.4068
CFA/H CN Equity,CLEAR GOLD RESOURCES INC, , , , , , , , , 
YOU US Equity,CLEAR SECURE INC -CLASS A, , , , , , , , , 
CLFD US Equity,CLEARFIELD INC,-45.8933,42.3235,205.1994, , , , , , 
CLRO US Equity,CLEARONE INC, ,-12.6108,-17.1952,-14.5817,-12.7683, , , , 
CLRI US Equity,CLEARTRONIC INC, , , , , , , , , 
CWAN US Equity,CLEARWATER ANALYTICS HDS-A, , , , , , , , , 
CDX/H CN Equity,CLOUD DX INC, ,-2.2935,-6.0759,-14.6892, , , , , 
CSAI US Equity,CLOUDASTRUCTURE INC-A, , ,-1143, , , , , , 
CLCO LN Equity,CLOUDCOCO GROUP PLC,-2.5038,-1.9181,-2.4724,-2.0696,-3.89,-8.2874,-5.5402,0.0131,-2.9139
NET US Equity,CLOUDFLARE INC - CLASS A,-29.7846,-31.588,-40.3698,-2.5934,-4.2769,-97.0737,-85.5837,-11.2877,-26.0382
AGAIN IM Equity,CLOUDIA RESEARCH SPA,8.7163,13.3679,17.0004,5.2554, , , , , 
CHL LN Equity,CLOUDIFIED HOLDINGS LIMITED,-1435.8629, ,-8.8223,-108.0456,-109.6883,-436.1245,-875.7151,-14.3494,-324.369
CLHI US Equity,CLST HOLDINGS INC, , , , ,-4.4176, , , , 
CMCOM NA Equity,CM.COM,-3.44,-6.3589,-10.2552,-10.4861,-2.8008,-1.2953,-0.0137, , 
CML LN Equity,CML MICROSYSTEMS PLC,52.5135,106.1702,36.7879,-16.4054,24.6,2697, , , 
CBRI US Equity,CMTSU LIQUIDATION INC, , , , ,7.4279, , , , 
CDRBQ US Equity,CODE REBEL CORP, , , , ,-94.7245, , , , 
CODE NO Equity,CODELAB CAPITAL AS,-2272.9844,3.8827,-5.1096,-5.0983,-2.858,-2.7401,-11.284, , 
CDMIL SS Equity,CODEMILL AB,29.123,-4.477,-27.3971,-42.5424,-21.3509,-9.2444, , , 
ALCOF FP Equity,COFIDUR,4.1115,6.4553,8.8769,21.0769,-36.1,24.3286,13.8182,16.4966,14.7967
ALLEC FP Equity,COGELEC,18.9247,13.7471,7.0633,-11.4688,-14.6629,-3.8147, ,14.9969,11.288
8HC GR Equity,COGIA AG, ,-14.1857,-75.2941,-23.1143,-13.9483,19.4741, , , 
CTSH US Equity,COGNIZANT TECH SOLUTIONS-A,53.5556,65.5854,156.2105,314,88.0833,94.3462,103.7407,107.8696,120.4737
COHR US Equity,COHERENT CORP,0.3332,-0.1294,3.4167,6.7133,0.4416,6.6319,7.4522,16.9689,29.7997
COH FP Equity,COHERIS SA, , , ,34.3,-29.7612,-23.6148,11.3365,6.7184,9.9184
COHU US Equity,COHU INC,-115.9676,12.7948,30.0591,31.4234,0.2369,-2.5456,-5.9837,698.6111, 
COLUM DC Equity,COLUMBUS A/S,8.0558,7.0369,12.7163,12.7423,20.5508,7.4878,26.1342,154.4559,163.9735
CGUD US Equity,COM-GUARD.COM INC, , , , , , , , , 
CX SS Equity,COMBINEDX AB,10.6897,16.2653,11.5556,13.6889,-1.3333,13,6.3529,26.5594,2.5627
CMPY US Equity,COMEPAY INC, , , , , , , , , 
COTN SW Equity,COMET HOLDING AG-REG,18.344,11.2818,57.7114,54.4592,20.5266,9.9745,11.8429,38.321,24.8793
COMINT SS Equity,COMINTELLI AB,27.7336,-14.0193,-10.7909,-8.7815,0.5766,-8.2318,5.2168,5.0937,3.4412
CBUIF US Equity,COMMODORE INTL LTD, , , , ,-15.9831, , , , 
COMM US Equity,COMMSCOPE HOLDING CO INC,0.3734,-0.5913,-1.2121,0.0866,-0.0896,-0.881,1.8595,1.8363,2.0453
CSYT US Equity,COMMUNICATION SYNERGY TECHNO, , , , , , , , , 
CVLT US Equity,COMMVAULT SYSTEMS INC,181.5783,-33.6547,381.3394, , , ,-0.8148,-1.2978,2.1426
COMPDM SS Equity,COMPODIUM INTERNATIONAL AB,-68.8909,-13.7697,-217.5794,-83.1111,-23.5146,-0.4082,-3.2587, , 
CHS CN Equity,COMPREHENSIVE HEALTHCARE SYS,-2.9701,-11.8108, , , , , , , 
COP GR Equity,COMPUGROUP MEDICAL SE & CO K,28.331,417.3469,7.6614,7.883,12.1073,18.5441,17.6027,9.4077,7.2776
CCC LN Equity,COMPUTACENTER PLC,41.0172,57.1915,52.3265,49.0769,44.315,23.9687,144.6667,300.8225,234.7051
CMG CN Equity,COMPUTER MODELLING GROUP LTD,8.9057,6.6925,13.014,14.7372,14.9206, , , , 
CPT MV Equity,COMPUTIME HOLDINGS PLC,56.3501, , , , , , , , 
COMS US Equity,COMSOVEREIGN HOLDING CORP, , ,-17.3896,-51.0994,-2.407,-2.4111,-23.6021,-6.0507,-25.2047
CMTL US Equity,COMTECH TELECOMMUNICATIONS,-3.6063,-0.9799,-6.7088,-10.0129,2.5064,4.4789,3.4404,3.1853,-0.0743
CMTL IM Equity,COMTEL SPA/MILANO,1.6623,2.4059,2.8151,1.4934,-1.322,1.8156,1.7778,1.2329,-3.499
CNXC US Equity,CONCENTRIX CORP,1.8531,3.2901,9.1357,24.8372,6.3908,3.1925,3.7857,4.772, 
CNC LN Equity,CONCURRENT TECHNOLOGIES PLC,55.6716,42.8629, , , , , , , 
CNDT US Equity,CONDUENT INC,7.72,-1.991,-0.5119,0.5455,-1.3167,-26,-2.4821,0.8321,-29.225
CFLT US Equity,CONFLUENT INC-CLASS A, , , , , , , , , 
YYAI US Equity,CONNEXA SPORTS TECHNOLOGIES,-2.6634,-4.1643,-4.5631,-0.2715,-2.9938, , , , 
CNNN US Equity,CONNEXIONONE CORP, , , , , , , , , 
CCSI US Equity,CONSENSUS CLOUD SOLUTION,4.3968,3.2453,2.9543,12.2713,2.5951,4.3682, , , 
MLCNT FP Equity,CONSORT NT, , , , ,79.2767, , , , 
CSU CN Equity,CONSTELLATION SOFTWARE INC,5.0847,6.5337,8.8523,13.7925,15.7805,13.2632,19.68,14.9641,14.1731
CNS CN Equity,CONTAGIOUS GAMING INC,6.9943,-18.6247,-18.2413,-21.5305,-9.6722,-7.6122,-15.1936,-172.541,-111.4652
CONTX NO Equity,CONTEXTVISION AB,146.1127,186.214,467.4204,453.9082,367.3692,30.2432,-216.5,-197.2,2884.5
CRDL LN Equity,CORDEL GROUP PLC,-8.2683,8.5934,-20.369,-16.3615,-35.4257, ,-2.343,-1.6257,-14.2721
CCRD US Equity,CORECARD CORP, , , , , , , , , 
CNS LN Equity,CORERO NETWORK SECURITY PLC,13.6667,-0.0884,2.4229,2.8103,-12.4419,-16.536,-18.5224,-2131.5,-2877.6667
CRTG US Equity,CORETEC GROUP INC/THE, , , , , , , , , 
CRWV US Equity,COREWEAVE INC-CL A,0.624,-0.2071,-2.3378, , , , , , 
GLW US Equity,CORNING INC,3.4498,2.7052,4.9247,6.2857,1.524,4.7491,6.5625,8.4188,7.8242
CGLO US Equity,CORO GLOBAL INC, , , , ,-32.4449,-280.8185,-5.6244,-35.1635,-28.8281
CRSR US Equity,CORSAIR GAMING INC,-3.7824,0.5562,-5.9648,7.8025,4.507,0.6669,0.6668, , 
BASE US Equity,COUCHBASE INC,-1965.9767,-686.2871,-85.7591,-4.7461,-6.5156, , , , 
CVO CN Equity,COVEO SOLUTIONS INC-SUB VTG, , ,-4.5803,-1.2523,-1.2168,-0.7917, , , 
CPU2 GR Equity,CPU SOFTWAREHOUSE AG, ,7.4178,7.6447,4.1042,35.6817,26.4408,8.6499,5.0443,4.7788
CXT US Equity,CRANE NXT CO,6.1091,5.9626,7.0785,11.2836,4.3436,4.4957,8.6699,10.759,5.4877
CRW LN Equity,CRANEWARE PLC,3.8468,3.0247,3.643, , , , , , 
CRAYN NO Equity,CRAYON GROUP HOLDING AS,2.6989,1.6014,2.1511,4.8768,5.8629,1.2884,2.2819,0.5296,-0.1158
CNANO NO Equity,CRAYONANO AS, ,-42.8395,-148.3063,-39.0286,-23.7411, , , , 
CREG IM Equity,CREACTIVES GROUP SPA,-6.9476,-7.0469,-4.2684,-2.0374,-8.3749,2.1717,3.4635, , 
CLXN SW Equity,CREALOGIX HOLDING AG-REG, ,3.3753,-25.0488,-6.2941,-25.3594,-19.3934,8.4644,6.1356,-0.8114
CRTD US Equity,CREATD INC, , ,-35.3585,-89.6753,-11.8261,-11.7765,-6.1606,-11.6609,-0.995
CREX US Equity,CREATIVE REALITIES INC,0.5285,0.4499,-0.9041,-3.1665,-15.7204,-0.1324,-1.7199,-3.7888,-2.7855
CRDO US Equity,CREDO TECHNOLOGY GROUP HOLDI, , , , , , , , , 
OPTI BB Equity,CRESCENT, ,-10.8486,-5.2042,-11.4774,-9.0364,-8.541,-139.0269,-5.9907,-2.1283
CXDO US Equity,CREXENDO INC,43.4286,-14.687,-479.3846,-33.4524,13.0395,94.5833,-17.1667,-3.512,-20.0217
CRCT US Equity,CRICUT INC - CLASS A, , , , , , , , , 
CRWD US Equity,CROWDSTRIKE HOLDINGS INC - A,-0.0775,-7.5087,-5.6497,-59.3515,-330.4638,-319.7757,-79.7573,-147.2455, 
CFISH SS Equity,CRUNCHFISH AB,-195.8583,-343.591,-1187.3506,-16.5801,-379.8369,-898.8261,-200.0822,-15624.502,-28.7209
LAW US Equity,CS DISCO INC, , , , , , , , , 
CSPI US Equity,CSP INC,-7.966,7.1374,-0.1111,-3.8914,-6.2456,-8.3434,-18.8353,46.5068,43.6897
CTAC NA Equity,CTAC NV,14.2487,8.611,14.5284,14.3282,10.0453,11.0092,56.093,39.8804,27.25
CTS US Equity,CTS CORP,17.1813,22.5311,42.4297,36.2288,13.7925,20.3229,29.2748,11.5151,17.0627
CXAI US Equity,CXAPP INC, , , , , , , , , 
CY4 IM Equity,CY4GATE SPA,-3.5454,-4.6267,4598.144,56.2966,57.8848,33.9511,-12.4759, , 
CYR GR Equity,CYAN AG,-173.0435,-206.8824,-143.0714,-143.3413,-77.1818,24.9009,-4.3302, ,211.8729
CYAN LN Equity,CYANCONNODE HOLDINGS PLC,-37.2035,-24.6103,-6.2012,-43.3065,-209,-209,-3160,-1724.6163,-1754.5228
CYBT CN Equity,CYBEATS TECHNOLOGIES CORP, , , , , , , , , 
CYBD US Equity,CYBER DIGITAL INC, , , , ,-4.633, , , , 
CYPJ US Equity,CYBER OPERATIONS INC, , , , , , , , , 
CYB1 SS Equity,CYBER SECURITY 1 AB,-3.6378, ,-242.5333,3.6803,-44.3203,-1.4551,-11.6484,-35.8888,-4.4475
CYBE CN Equity,CYBERCATCH HOLDINGS INC, , , , , , , , , 
CYRD US Equity,CYBERECORD INC, , , , , , , , , 
CYBF US Equity,CYBERFORT SOFTWARE INC, , , , ,-7.6828,-7.6828,-230.1517, , 
CKYS US Equity,CYBERKEY SOLUTIONS INC, , , , , , , , , 
CLOQ US Equity,CYBERLOQ TECHNOLOGIES INC, , , , , , , , , 
CYB IM Equity,CYBEROO SPA,13.3449,12.4148,18.1189,3.8371,2.0254,12.9155, , , 
CYIO US Equity,CYIOS CORP, , , , ,11.164, , , , 
CYK LN Equity,CYKEL AI PLC, ,-0.8708,-0.9267, , , , , , 
CYN US Equity,CYNGN INC,-20.427, , ,-981.2169,-1668.0533, , , , 
CYVIZ NO Equity,CYVIZ AS,1.8127,0.775,-5.8263,-39.5673,-2.3066,-24.9356,-5.2826,-4.0823,-5.6324
DBO CN Equity,D-BOX TECHNOLOGIES INC,2.8533,-0.8775,-3.5086,-11.7186,-7.9315,-1.3662,-1.9982,-4.0905,0.5091
QBTS US Equity,D-WAVE QUANTUM INC,-19.816,-2176.9189,-25.4638,-22.5394, , , , , 
DTOL CN Equity,D2L INC,-11.474,-28.4804,-253.1184,7.6107,-22.0351,-3.4956, , , 
DGIF US Equity,D7 ENTERPRISES INC, , , , , , , , , 
DJCO US Equity,DAILY JOURNAL CORP,1.3184,1.5355,1.7935,6.581,-2.3201,-19.0827,-18.8472,-25.2241,-13.719
DAKT US Equity,DAKTRONICS INC,13.4044,23.2478, ,57.9932,-1.5755,-29.55,57.4194,67.0478,10.943
MLDAM FP Equity,DAMARIS, , , , , , , , , 
DANTB DC Equity,DANTAX A/S-B SHS,13.6545,29.1333,6.0238,55.5455,-17.9231,16.825,686.8333,2572,131.5455
DRIO US Equity,DARIOHEALTH CORP, , , , , , , , , 
DPLS US Equity,DARKPULSE INC,-2.9879,-32.5589,-56.4517,-67.8743,-1.9157,-1.0802,-4.7737,-3.3444,-171.7928
DSY FP Equity,DASSAULT SYSTEMES SE,27.8037,30.9701,50.1115,36.1489,18.0027,32.254,49.5613,58.6961,26.5332
DCM CN Equity,DATA COMMUNICATIONS MANAGEME,1.2702,-0.4351,5.0763,0.6657,1.8494,-0.596,1.7964,-0.6353,-8.2601
DTEV US Equity,DATA EVOLUTION HOLDINGS INC, , , , , , , , , 
DAIO US Equity,DATA I/O CORP, , , , , , , , , 
DAM GR Equity,DATA MODUL AG,6.7543,11.9807,28.608,453.7143,111.9895,151.3333,270.0811,139.825,174.2273
DTST US Equity,DATA STORAGE CORP,0.6713,-2.2605,-31.333,-6.052,-0.0061,1.1638,3.3947,-0.7928,-2.7725
ATDS US Equity,DATA443 RISK MITIGATION INC,-1.1175,-0.4339,-0.6148,-0.7909,-1.5491,-2.233,-7.7925, , 
DAC/H CN Equity,DATABLE TECHNOLOGY CORP, , ,-9.1621,-15.1835, ,-152.5347, , , 
DDOG US Equity,DATADOG INC - CLASS A,7.6802,-5.3101,-3.5497,-0.9099,-0.4526, , , , 
D6H GR Equity,DATAGROUP SE,6.5079,12.7256,21.1335,28.9906,7.3513,20.7873,20.7873,15.7375,11.8633
DLE ID Equity,DATALEX PLC,-2.375,-3.3994,-30.0736,-0.1028,-1.2416,-8.3236,-199.5405,23.8197,93.7679
DLGI US Equity,DATALOGIC INTERNATIONAL INC, , , , ,-0.3956, , , , 
DAL IM Equity,DATALOGIC SPA,0.0995,0.2802,1.1735,2.1077,0.4151,1.4599,2.2612,2.2775,3.1169
DM CN Equity,DATAMETREX AI LTD, ,-129.7687,-130.3238,4300.7158,-89.5599,-33.6547,-60.2307,-233.1471, 
DATA DC Equity,DATAPROCES GROUP A/S,1.2328,-12.8445,-20.2639,-78.8547,3.8013,3.6847, , , 
DTRK US Equity,DATATRAK INTERNATIONAL INC, , , , ,-10.5812,98.3192,48.2223,1.6136,22.5142
DVLT US Equity,DATAVAULT AI INC, , , , , , , , , 
DATS US Equity,DATCHAT INC, , , ,-85342.9141,-20.5296,-36.2118, , , 
DATA IM Equity,DATRIX SPA, ,-22.5032,-76.7386,-83.2603,-101.3707,-38.5148, , , 
DAY US Equity,DAYFORCE INC,2.564,3.687,-0.9021,-0.9889,0.3108,2.2315,0.6743,0.6361,-0.0469
DBA IM Equity,DBA GROUP SPA,5.6855,7.482,6.7231,0.6589,-1.2685,-6.1894,7.7106,12.2865,12.5633
DLAD US Equity,DEALERADVANCE INC, , , , ,-2.2191, , , , 
ACT DC Equity,DECIDEACT A/S, ,-14.1989,-25.3255,-30.0357,-9.481,-0.1381,-0.4075, , 
DECN US Equity,DECISION DIAGNOSTICS CORP, , , , ,-5.0001, , , , 
DPFD US Equity,DEEP FIELD TECHNOLOGIES-CL A, , , , ,-8.2102, , , , 
DSAI CN Equity,DEEPSPATIAL INC, , , , , , , , , 
DFDV US Equity,DEFI DEVELOPMENT CORP, , , ,-6597.6187, , , , , 
DH US Equity,DEFINITIVE HEALTHCARE CORP,-47.9086, , , , , , , , 
DFSC CN Equity,DEFSEC TECHNOLOGIES INC,-38.8849,-16.73,-19.9433,-85.4057, , , , , 
DGMA US Equity,DEGAMA SOFTWARE SOLUTIONS IN, , , , ,-240.125, , , , 
DELL US Equity,DELL TECHNOLOGIES -C,3.6049,4.7226,3.0214,1.7958,0.9802,-0.0768,-1.0042,-1.3649,-0.7559
DLPX US Equity,DELPHAX TECHNOLOGIES INC, , , , ,0.4118, , , , 
DSG CN Equity,DESCARTES SYSTEMS GRP/THE,104.8048,111.7686,92.1051,60.199,11.8338,19.4751,27.6669,50.239,53.8257
