Ticker,Name,EBIT/Tot Int Exp:2024,EBIT/Tot Int Exp:2023,EBIT/Tot Int Exp:2022,EBIT/Tot Int Exp:2021,EBIT/Tot Int Exp:2020C,EBIT/Tot Int Exp:2019,EBIT/Tot Int Exp:2018,EBIT/Tot Int Exp:2017,EBIT/Tot Int Exp:2016
ADN1 GR Equity,ADESSO SE,1.9444,1.9786,10.669,24.6548,14.2316,10.3339,30.9609,22.7918,37.5461
ALARF FP Equity,ADEUNIS RF SACA, , , , ,-105.9697,-105.9697,-98.9667,-3.1505,-0.8504
ADMCM FH Equity,ADMICOM OYJ,43.5965,41.3272,55.5748,223.7492,524.5609,2302.6685,18.6238,22.3147, 
ADBE US Equity,ADOBE INC,39.8876,58.8496,54.4464,51.3451,36.5259,20.8153,31.8277,29.1403,21.2033
ADTN US Equity,ADTRAN HOLDINGS INC,-18.9136,-13.5757,-21.1891,-432.3529,-1954.6,-78.2055,-85.2195,67.241,60.7255
ADV GR Equity,ADTRAN NETWORKING SE,-8.3455,3.6807,8.0857,24.6839,10.1115,4.4854,9.2127,4.5345,43.8167
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, , , , , , , , , 
ABX GR Equity,ADVANCED BLOCKCHAIN AG, , ,28.462,47030,-32627.1387,-32627.1387, , , 
AMD US Equity,ADVANCED MICRO DEVICES,20.6522,3.783,14.3636,107.2941,29.1277,6.7128,3.7273,1.0079,-2.391
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , , , 
ADVE SS Equity,ADVENICA AB,4.5821,-5.7287,-1.4554,-9.4068,-12.0298,-17.6562,-286.5266,-631.0377,-772.5333
AEHR US Equity,AEHR TEST SYSTEMS, , , ,-90.913, ,-19.8413,2.2932,-7.2699,-10.1719
ALMU US Equity,AELUMA INC, , , , , , , , , 
AERT US Equity,AERIES TECHNOLOGY INC, , , , , , , , , 
AERS US Equity,AERIUS INC, , , , , , , , , 
AMEN SM Equity,AETERNAL MENTIS,-2.1748,0.8027,1.2814,1.5251, , , , , 
ATHR US Equity,AETHER HOLDINGS INC, , , , , , , , , 
AFRN LN Equity,AFERIAN PLC,-6.3916,-28.2394,-61.2435,8.2267,9.0513,7.0586,320.0833,3270.5,273.2
AFFN US Equity,AFFINITY NETWORKS INC, , , , , , , , , 
TREP US Equity,AFINIDA INC, , , , ,8.2494,5.1988, , , 
AFTM US Equity,AFTERMASTER INC, , , , ,-1.2701,-1.2701,-1.3769,-3.2521,-7.7411
AGET CN Equity,AGEDB TECHNOLOGY LTD, , , , , , , , , 
AGIL SM Equity,AGILE CONTENT SA,-0.305,0.9634,-1.7124, ,-1.1884,0.2324,-2.3955,-1.529,-23.7202
AGILQ US Equity,AGILETHOUGHT INC, , ,-1.0029,-0.1244, , , , , 
AGILC DC Equity,AGILLIC A/S,-3.8013,-2.7727,-3.8793,-4.7433,-4.0365,-12.7984,-16.1057,1.4013,0.9508
AGYS US Equity,AGILYSYS INC, , ,526.5833,-1047.9,-3784.5557,-1308.1,-1208,-760.5333,-148.7241
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ,-26.1738,-68.5745,-20.2843,-1.5659,-20.2462,-97.4839,-65, , 
AINO SS Equity,AINO HEALTH AB,-11.8895,-9.9682,-18.2877, , , , , , 
AIRG US Equity,AIRGAIN INC, ,-1377.7778,-147.931,-319.0526,-167.5789,76,-109.2683,9.8186,19.3539
IQ CN Equity,AIRIQ INC, ,241,149.75,103.8333,80.2857,106.5,89,118.3333, 
AISP US Equity,AIRSHIP AI HOLDINGS INC,-3.5425,-101.868, , , , , , , 
AISX CN Equity,AISIX SOLUTIONS INC,-51.3232,-118.5783,-190.4341,-1242.7654,-685.8316,-1276.5125, , , 
AIXIAB SS Equity,AIXIA GROUP AB,23.5821,-6.2071,7.5556,7.1822,19.18,20.8161,6.1084,-0.0176,7
AIXA GR Equity,AIXTRON SE,302.3799,759.1317,286.2416,350.6021,1017.8571,263.8671,4594,33.2903,-145.5034
AKAM US Equity,AKAMAI TECHNOLOGIES INC,19.3693,35.0745,59.3796,10.304,8.9657,9.8788,7.594,13.7689,20.8527
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,-41.3811,-28.4535,-786.4286,-8.069,-7.0059,-9.552, , , 
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , , , 
ALEN/U CN Equity,ALEEN INC, , , , , , , , , 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,49,60.2,49.3333,30.875,29.29,16.4061, , , 
ALFIQ US Equity,ALFI INC, , , ,-19.7918,-1.5651,-199.1075, , , 
ALFO IM Equity,ALFONSINO SPA,-6.8039,-25.0374,-74.9202,-30.03,84.7705,12.0407, , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,-7.3794,-8.547,0.1294,3.4573,-13.4801,4.2886,3.6665,15.7828,7.4203
ALHC US Equity,ALIGNMENT HEALTHCARE INC,-4.3129,-6.0203,-7.0337,-10.2088,-0.3108,-1.9792, , , 
ALYA CN Equity,ALITHYA GROUP INC-CLASS A,-0.4048,-3.19,-3.9326,-7.6329,-28.0397,-6.9269,-2.9395, , 
ALKT US Equity,ALKAMI TECHNOLOGY INC,-96.8026,-8.6274,-14.9842,-36.1855,-71.7853,-386.6818, , , 
A1OS GR Equity,ALL FOR ONE GROUP SE,10.3538,5.7603,11.3789,19.4943,19.002,12.2999,15.9512,19.1981,7.9729
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, , , , , , , , , 
ADGL US Equity,ALLDIGITAL HOLDINGS INC, , , , ,-51.9318, , , , 
ALGM US Equity,ALLEGRO MICROSYSTEMS INC,18.2332, , , , , , , , 
AEIN GR Equity,ALLGEIER SE,2.6334,2.9762,4.5152,2.9755,5.8379,4.7726,3.7911,4.6865,5.4545
ADSV US Equity,ALLIED SECURITY INNOVATIONS, , , , ,-0.4068, , , , 
