Ticker,Name,Debt/Assets:2024,Debt/Assets:2023,Debt/Assets:2022,Debt/Assets:2021,Debt/Assets:2020,Debt/Assets:2019,Debt/Assets:2018,Debt/Assets:2017,Debt/Assets:2016
BDRL US Equity,BLONDER TONGUE LABORATORIES,86.3188,81.6836,71.9893,49.2191,65.8221,33.2697,37.4912,38.421,37.8867
BLMZ US Equity,BLOOMZ INC, , , , , , , , , 
BMIT MV Equity,BMIT TECHNOLOGIES PLC,66.6141,62.7977,24.492,25.8574,27.2379,20.0606,0,0,0
BWLK CN Equity,BOARDWALKTECH SOFTWARE CORP,24.7266,3.3585,12.5904,14.4361,307.3053,297.8089, ,2458.2605,1407.4407
BOKU LN Equity,BOKU INC-REG S,0.6514,0.81,1.2197,5.8306,6.8557,3.6634,2.0497,2.3772,27.9971
BAH US Equity,BOOZ ALLEN HAMILTON HOLDINGS,55.413,46.7362,51.4387,48.6344,52.2559,45.9247,50.4234,49.3114,53.0621
BOREF US Equity,BOREALIS EXPLORATION LTD, , , , , , , , , 
BRRN US Equity,BORN INC, , , , , , , , , 
BOUV NO Equity,BOUVET ASA,17.5341,18.7012,15.8461,15.4674,17.5179,21.7584,0,0,0
BOMO US Equity,BOWMO INC, , , , , , , , , 
BOX US Equity,BOX INC - CLASS A,39.624,46.756,46.1444,47.9517,44.2234,17.3671,15.5038,15.2824,10.4553
BOXL US Equity,BOXLIGHT CORP - CLASS A,39.5421,31.0776,22.8373,25.7854,18.4755,32.2494,14.8032,4.1873,40.6839
TBH US Equity,BRAG HOUSE HOLDINGS INC,464.2336,630.0154,268.9584, , , , , , 
BRAG CN Equity,BRAGG GAMING GROUP INC,3.4683,3.1703,6.9797,0.7195,1.007,1.9576,0,9.1779,37.7152
BRAINP DC Equity,BRAIN+ A/S,0.2098,0.2222,0,0.0002,1.2936,1.7645,5.6757,0,0
BNAI US Equity,BRAND ENGAGEMENT NETWORK INC,15.4,0,0,0,19.0661, , , , 
BVTK US Equity,BRAVATEK SOLUTIONS INC, , , , , , ,1802.3964,5657.6831,1388.9506
BRZE US Equity,BRAZE INC-A,11.1737,7.2703,0,0,0, , , , 
BLIN US Equity,BRIDGELINE DIGITAL INC,4.4161,6.188,5.8372,6.8922,2.758,0,32.6455,14.2264,12.1841
BTSR US Equity,BRIGHTSTAR INFORMATION TECH, , , , , , , , , 
BRILL SS Equity,BRILLIANT FUTURE AB,0,0,0,0,2.0864,0,0,0, 
BRIX SS Equity,BRIOX AB,10.1156,0.0176,0.6032,0,0,0,0,0,0
AVGO US Equity,BROADCOM INC,41.6046,54.4159,54.5782,53.2923,54.9023,48.5947,34.8994,32.2467,27.3026
ALBPK FP Equity,BROADPEAK,21.5844,23.0243,11.541,34.5953,44.7384, , , , 
BRKO US Equity,BROKE OUT INC, , , , , , , , , 
BRQL US Equity,BROOQLY INC,23206.752,27.3248,0,0, , , , , 
BTQ CN Equity,BTQ TECHNOLOGIES CORP,0,0,0,0,0,0,0,0,0
BZWR US Equity,BUSINESS WARRIOR CORP, , , , , , , , , 
BYIT LN Equity,BYTES TECHNOLOGY GROUP PLC,0.4574,0.3093,0.4151,0.727,0.8558,0,0, , 
CMI CN Equity,C-COM SATELLITE SYSTEMS INC,0,0,0,0,0,0,0,0,0
AI US Equity,C3.AI INC-A,5.6659,3.5955,2.9517,0.9818,3.1248,0.3462, , , 
ALCAB FP Equity,CABASSE SA, ,68.8587,65.2061, , , , , , 
CACI US Equity,CACI INTERNATIONAL INC -CL A,28.2354,31.3912,31.9084,35.0015,32.1457,32.7318,26.3333,31.4891,36.5167
CDNS US Equity,CADENCE DESIGN SYS INC,29.2678,14.217,17.9899,10.9427,12.5198,13.5933,18.0378,30.1552,33.0722
CSOC US Equity,CADUCEUS SOFTWARE SYSTEMS CO, , , , , , , , , 
CAG SS Equity,CAG GROUP AB,10.784,16.5019,19.2409,12.805,11.3363,12.9325,15.5443,18.9215,20.0466
CNO CN Equity,CALIFORNIA NANOTECHNOLOGIES,9.6845,24.0304,41.8345,51.4692,92.8922,91.9908,88.5541,0.9633,1.1231
CALX US Equity,CALIX INC,0.8542,1.2277,1.4004,2.1525,3.7299,14.8348,9.4613,10.1671,0
CLX LN Equity,CALNEX SOLUTIONS PLC,5.2027,5.3858,5.057,5.416,23.1617,26.8121,39.2421, , 
CBEX US Equity,CAMBEX CORP, , , , , , , , , 
CMBM US Equity,CAMBIUM NETWORKS CORP, ,15.2555,11.772,15.3624,28.9945,41.2062,72.5195,71.8484, 
CANATU FH Equity,CANATU PLC,4.7847,95.9943,97.5763,96.1014, , , , , 
COK GR Equity,CANCOM SE,15.2342,16.5108,12.4748,11.747,11.2274,15.9898,9.4743,2.695,10.0908
WPR CN Equity,CANPR TECHNOLOGY LTD,4.6442,0, , , , , , , 
CTLP US Equity,CANTALOUPE INC,14.1035,14.5712,7.2471,8.0489,11.9482,6.9655,15.4167,11.5947,10.991
CAP FP Equity,CAPGEMINI SE,23.6828,26.7004,29.6205,31.7979,41.2043,22.5751,20.3479,21.149,20.7303
CAPC US Equity,CAPSTONE COMPANIES INC,21.5674,178.4533,78.3039,2.6442,4.4519,3.808,0,0,13.8018
CARA SS Equity,CARASENT AB,3.8421,4.5874,2.8363,1.2559,3.6655,13.7157,2.7062, , 
AUTO CN Equity,CARBEEZA INC,3466.7231, , , ,976.5842,258.607,75.7894,93.4108,1.2265
CBRJ US Equity,CARBON RACE CORP, , , , , , , , , 
EKG CN Equity,CARDIOCOMM SOLUTIONS INC,128.9171,143.072,123.2057,89.8909,84.9297,165.7961,55.0562,38.9759,52.1844
CXCQ US Equity,CARDXX INC, , , , , , , , , 
CCLD US Equity,CARECLOUD INC,4.8454,18.9307,10.1429,11.9789,8.3102,7.2628,1.0503,1.1346,35.3566
CSPN CN Equity,CARESPAN HEALTH INC,0,0,0,0,0,0, , , 
CRVW US Equity,CAREVIEW COMMUNICATIONS INC,575.5094,493.3367,1656.2142,2078.0137,1825.4214,1740.208,1027.849,603.3072,292.2755
CRSM US Equity,CARSMARTT INC, , , , , , , , , 
CTM US Equity,CASTELLUM INC,30.3696,39.7196,30.5904,38.1311,55.3167, , , , 
CTAI LN Equity,CATENAI PLC, ,708.9896, ,0,2.4502,426.8353,322.1698,35.4344,42.3735
CBIT CN Equity,CATHEDRA BITCOIN INC,9.7787,38.9841,72.4827,33.0248,4.1134,0, ,0,0
CBRAIN DC Equity,CBRAIN A/S,13.1392,14.8781,30.5488,20.1616,3.091,2.8923,0,0,0
CCCS US Equity,CCC INTELLIGENT SOLUTIONS HO,25.9864,27.4054,25.2091,26.4244,41.3236,41.6349, , , 
CCUR US Equity,CCUR HOLDINGS INC, , , , ,0,2.5611,0,0,0
CDW US Equity,CDW CORP/DE,40.8212,43.9825,46.6801,53.5964,44.1084,43.4845,44.7647,46.4424,46.5488
CEOS US Equity,CECORS INC, , , , , , , , , 
CGM FP Equity,CEGEDIM SA,33.0178,30.8529,31.9795,34.5422,29.4313,34.08,29.1704,34.1547,34.9177
CLBS LN Equity,CELEBRUS TECHNOLOGIES PLC,1.8317,0.5561,0.3712,0.6618,0,0,1.9497,5.0192,7.3077
CLTY US Equity,CELERITY SOLUTIONS INC, , , , , , , , , 
CLS CN Equity,CELESTICA INC,13.3045,11.4642,13.9677,17.022,15.9903,19.6225,20.2772,6.8956,8.6702
CELL IM Equity,CELLULARLINE SPA,15.4449,16.182,18.3342,13.3753,15.7126,17.2005,20.4184,35.4959, 
CSH GR Equity,CENIT AG,34.1789,32.7344,25.8555,11.4466,14.3681,15.8134,0.0038,3.6121,0
CTNK GR Equity,CENTROTHERM INTERNATIONAL AG,2.9893,3.196,3.2898,2.5807,4.4367,6.5974,10.9523,2.6066,5.7922
CEK GR Equity,CEOTRONICS AG,41.9124,21.4412,24.7426,24.2224,33.639,37.2566,35.0253,26.7371,31.7515
CRNC US Equity,CERENCE INC,42.0351,22.2976,21.7536,16.8914,17.5794,0,0,0,0
CER LN Equity,CERILLION PLC,4.4357,5.9828,9.4446,13.4972,19.2659,6.9273,12.0079,15.9861,19.1038
CBP CN Equity,CERTIVE SOLUTIONS INC, ,1230.871,970.9442,789.1611,552.6201,524.0983,301.5744,58.7001,78.66
CEVA US Equity,CEVA INC,1.8,2.1231,3.14,2.5571,2.8477,3.591,0,0,0
GIB/A CN Equity,CGI INC,19.8281,23.6861,26.2018,27.8183,28.7033,18.4698,15.1093,16.3388,16.3424
CHMP US Equity,CHAMPION INDUSTRIES INC/WV, , , , , , , , , 
CCA AU Equity,CHANGE FINANCIAL LTD,1.2124,7.4725,2.2769,4.4153,9.3577,60.008,0,0,0
CHARGE SS Equity,CHARGEPANEL AB (PUBL),0,0,0,0,5.8005,7.3171,6.405, , 
CHECK SS Equity,CHECKIN.COM GROUP AB,4.2179,7.0214,9.9214,13.9662,17.3393,3.2461, , , 
CKT LN Equity,CHECKIT PLC,1.2987,1.0949,0.5362,2.0576,3.1802,0,0,6.6964,10
MLCHE FP Equity,CHEOPS TECHNOLOGY, , , , , , , , , 
C3RY GR Equity,CHERRY SE, ,27.5669,16.4644,15.7741,33.5116, , , , 
CLAD US Equity,CHINA LIAONING DINGXU ECOLOG, , , , , , , , , 
CMNT US Equity,CHINA MULANS NANO TECHNOLOGY, , , , , , , , , 
MLTV BB Equity,CHOICE NV, , , ,0, , , , , 
CNCN US Equity,CHUN CAN CAPITAL GROUP, , , , , , , , , 
ALCBX FP Equity,CIBOX INTER@CTIVE,30.3803,35.0747,39.5754,40.9757,46.655,12.2071,16.8166,22.2,0
CIEN US Equity,CIENA CORP,28.9338,29.5843,23.4002,16.5189,19.8075,19.4037,24.7424,25.6385,43.8014
CINT SS Equity,CINT GROUP AB,17.1097,17.7557,10.2992,7.8647,6.733,22.6939,6.3671, , 
CRTA LN Equity,CIRATA PLC,5.9576,3.4395,2.1056,4.3046,7.0018,11.7192,15.096,10.2504,1.8987
CIRC IM Equity,CIRCLE SPA,5.044,2.6712,3.5332,7.3997,3.2971,8.1782,0.0114,14.1738, 
CA1 GR Equity,CIRCUS SE, ,3.8758, , , , , , , 
CRUS US Equity,CIRRUS LOGIC INC,6.9554,6.835,8.3753,7.7819,8.9718,0,0,4.2449,13.5749
CSCO US Equity,CISCO SYSTEMS INC,25.9073,9.2399,11.2349,13.0199,16.4307,25.2227,23.5044,25.9725,23.545
CISO US Equity,CISO GLOBAL INC,27.4538,27.6949,14.1952,20.3339,32.0206,2.4412,78.1232, , 
CNWT US Equity,CISTERA NETWORKS INC, , , , , , , , , 
CLTE CN Equity,CLARA TECHNOLOGIES CORP, ,0,0,0, , , , , 
CLA FP Equity,CLARANOVA SE,66.3457,72.5794,66.4939,31.8081,37.6667,29.4151,35.0311,3.7974,4.6242
CLAV SS Equity,CLAVISTER HOLDING AB,68.1059,104.6446,97.2001,82.7198,60.4605,100.4646,61.7666,2.4865,6.2312
CTEK CN Equity,CLEANTEK INDUSTRIES INC,63.9396,64.6138,71.1315,54.1268,284.711,17.8488,1.6426,0.1635,1.1274
CFA/H CN Equity,CLEAR GOLD RESOURCES INC, , , , , , , , , 
YOU US Equity,CLEAR SECURE INC -CLASS A,10.1474,12.1896,12.5404,0,0,0, , , 
CLFD US Equity,CLEARFIELD INC,5.8222,4.6349,14.1681,2.0093,2.9328,0,0,0,0
CLRO US Equity,CLEARONE INC,2.9046,2.0673,5.809,4.8102,8.5249,8.7461,0,0,0
CSYS US Equity,CLEARSTORY SYSTEMS INC, , , , , , , , , 
CLRI US Equity,CLEARTRONIC INC, , , , , , , , , 
CWAN US Equity,CLEARWATER ANALYTICS HDS-A,6.1492,12.8998,15.8936,15.6545,367.6944,385.9289, , , 
CDX/H CN Equity,CLOUD DX INC, ,710.6265,373.728,94.9902,0,0, , , 
CSAI US Equity,CLOUDASTRUCTURE INC-A,0,0,0, , , , , , 
CLCO LN Equity,CLOUDCOCO GROUP PLC,35.3661,37.2406,27.4614,28.854,27.8897,68.6705,32.4622,22.7006,30.0048
NET US Equity,CLOUDFLARE INC - CLASS A,44.3242,52.0045,60.9408,54.7052,31.0217,1.2645,3.5854,6.696, 
AGAIN IM Equity,CLOUDIA RESEARCH SPA, ,33.946,32.2691,0, , , , , 
CHL LN Equity,CLOUDIFIED HOLDINGS LIMITED, ,0,31.4987,6.8259,4.2285,0,0,0,0
CLHI US Equity,CLST HOLDINGS INC, , , , , , , , , 
CMCOM NA Equity,CM.COM,49.5707,47.6834,41.7622,36.9129,4.646,36.6798,0, , 
CML LN Equity,CML MICROSYSTEMS PLC,1.2386,1.7398,0.7888,1.1143,1.8694,1.1848,0,0,0
CMEY US Equity,CMONEY INC, , , , , , , , , 
CBRI US Equity,CMTSU LIQUIDATION INC, , , , , , , , , 
CDRBQ US Equity,CODE REBEL CORP, , , , , , , , , 
CODE NO Equity,CODELAB CAPITAL AS,0,0,23.774,18.6147,15.7864,0.0781,0.0056, , 
CDMIL SS Equity,CODEMILL AB,2.6141,6.075,8.3526,9.2079,18.8193,22.5056, , , 
ALCOF FP Equity,COFIDUR,16.686,5.2819,7.1123,8.5227,14.2773,5.3011,7.7227,10.1649,11.509
ALLEC FP Equity,COGELEC,19.3706,27.4787,31.451,32.9252,23.5834,19.9195, ,30.0154,33.0374
8HC GR Equity,COGIA AG, ,0.3682,0.3719,0.5019,0.8617,0, , , 
CTSH US Equity,COGNIZANT TECH SOLUTIONS-A,7.5278,7.2445,8.6657,9.2707,10.5182,10.5591,4.7015,5.7355,6.1562
COHR US Equity,COHERENT CORP,29.7002,32.7576,31.113,23.4701,45.4102,23.9546,24.9533,24.8096,19.4151
COH FP Equity,COHERIS SA, ,16.1904,19.0596,22.0135,18.1499,12.5436,3.0906,3.0944,3.7034
COHU US Equity,COHU INC,3.2426,5.1232,8.4047,11.5074,32.2093,36.1826,31.1135,2.1317,0
COLUM DC Equity,COLUMBUS A/S,16.9295,18.262,16.5596,12.5987,16.3289,16.1842,11.739,1.1056,3.4735
CGUD US Equity,COM-GUARD.COM INC, , , , , , , , , 
CX SS Equity,COMBINEDX AB,15.1866,13.6744,18.9352,12.9591,26.4077,10.9983,14.5212,10.9734,21.6253
CMPY US Equity,COMEPAY INC, , , , , , , , , 
COTN SW Equity,COMET HOLDING AG-REG,18.3768,20.1686,17.5765,16.1926,19.0598,21.7717,21.5573,17.4107,20.4188
COMINT SS Equity,COMINTELLI AB,4.024,18.0874,9.4197,16.9885,17.6741,10.8052,13.7915,7.0952,12.653
CBUIF US Equity,COMMODORE INTL LTD, , , , , , , , , 
COMM US Equity,COMMSCOPE HOLDING CO INC,107.2741,101.1744,82.7768,73.14,71.4609,69.67,60.1146,62.0507,63.8759
CSYT US Equity,COMMUNICATION SYNERGY TECHNO, , , , , , , , , 
CVLT US Equity,COMMVAULT SYSTEMS INC,1.2808,1.6328,1.9665,2.5314,1.9533,0,0,0,0
COMPDM SS Equity,COMPODIUM INTERNATIONAL AB,1.8281,0.3064,0.8892,1.1671,20.951,15.3773,27.0701, , 
CHS CN Equity,COMPREHENSIVE HEALTHCARE SYS,180.6893,111.9165, ,0,0,0, , , 
COP GR Equity,COMPUGROUP MEDICAL SE & CO K,45.1737,40.6776,40.6467,41.9867,35.759,48.2465,39.7438,45.0743,47.6456
CCC LN Equity,COMPUTACENTER PLC,4.0671,4.1727,4.5376,6.5551,10.7695,10.3177,7.3061,1.0637,0.3372
CMG CN Equity,COMPUTER MODELLING GROUP LTD,21.3687,27.6968,31.6329,33.4408,35.0595,0,0,0,0
CPT MV Equity,COMPUTIME HOLDINGS PLC, , , , , , , , , 
COMS US Equity,COMSOVEREIGN HOLDING CORP, , ,98.9967,33.7788,17.5716,9.2468,56.2335,162.6784,20.1832
CMTL US Equity,COMTECH TELECOMMUNICATIONS,23.3072,21.5623,18.7944,25.1174,19.568,18.6724,19.866,23.5321,28.0775
CMTL IM Equity,COMTEL SPA/MILANO, ,24.5804,27.3854,42.8109,34.8811,18.5356,19.3863,21.391,25.3395
CNXC US Equity,CONCENTRIX CORP,46.6781,46.3849,40.8374,25.9556,22.1168,42.576,47.0472, , 
CNC LN Equity,CONCURRENT TECHNOLOGIES PLC,0.6108,0.6312,0.6196,0.3517,0,0.3826,0,0,0
CNDT US Equity,CONDUENT INC,32.2047,47.5965,43.0972,41.5263,42.4342,40.7842,23.4581,27.3052,25.1784
CFLT US Equity,CONFLUENT INC-CLASS A,41.188,45.2532,47.6368,47.875,9.6807,0, , , 
YYAI US Equity,CONNEXA SPORTS TECHNOLOGIES,12.6433,48.3778,22.6643,108.0068,294.7168, ,0,0, 
CNNN US Equity,CONNEXIONONE CORP, , , , , , , , , 
CCSI US Equity,CONSENSUS CLOUD SOLUTION,100.8218,115.755,127.865,143.6659,1.8859, , , , 
MLCNT FP Equity,CONSORT NT, , , , , , , , , 
CSU CN Equity,CONSTELLATION SOFTWARE INC,18.4638,18.0261,15.4149,11.8453,16.5714,21.3303,12.5383,14.5467,18.4005
CNS CN Equity,CONTAGIOUS GAMING INC,3571.0034,819.0232,1284.9617,632.7245,190.7329,54.2409,23.79,36.3025,17.2223
CONTX NO Equity,CONTEXTVISION AB,8.0383,5.0224,4.5294,8.2129,4.7934,9.3091,0,0,0
CRDL LN Equity,CORDEL GROUP PLC,3.5963,0,1.7401,2.1673,2.3321,0,0,190.3107,77.1255
CCRD US Equity,CORECARD CORP,4.7178,3.3576,5.2126,6.9564,5.2205,1.0398,0,0,0
CNS LN Equity,CORERO NETWORK SECURITY PLC,0.4478,1.1078,4.7924,9.9003,9.2311,12.5043,13.1519,0,0
CRTG US Equity,CORETEC GROUP INC/THE, , , , , , , , , 
CRWV US Equity,COREWEAVE INC-CL A,59.5554,40.1798, , , , , , , 
GLW US Equity,CORNING INC,29.1725,29.7684,26.4992,26.0131,28.2729,29.5245,21.8069,18.6513,13.9862
CGLO US Equity,CORO GLOBAL INC, , , , ,0,37.0228,78.9854,11936.1963,2192.9746
CRSR US Equity,CORSAIR GAMING INC,19.1808,18.1592,22.7538,23.0493,26.4843,47.7308,52.1234, , 
BASE US Equity,COUCHBASE INC,2.1336,3.0272,0,21.2889,72.7495, , , , 
CVO CN Equity,COVEO SOLUTIONS INC-SUB VTG,2.4956,2.8949,3.2327,6.4873,6.2788, , , , 
CPU2 GR Equity,CPU SOFTWAREHOUSE AG, ,0,0,0,0,0,0,0,0
CXT US Equity,CRANE NXT CO,34.1043,32.6242,30.5362,21.0516,28.7757,25.022,23.4794,20.6901,21.7415
CRW LN Equity,CRANEWARE PLC,7.3846,15.0249,20.4118,0.7064,2.5596,0,0,0,0
CRAYN NO Equity,CRAYON GROUP HOLDING AS,10.0665,15.7519,16.0655,20.0814,7.8812,11.0068,12.9993,14.3205,24.9924
CNANO NO Equity,CRAYONANO AS, ,8.8346,5.063,5.0956,1.9336, , , , 
CREG IM Equity,CREACTIVES GROUP SPA,21.3569,17.0846,24.0658,27.6277,41.3283,34.0159,37.6386, , 
CLXN SW Equity,CREALOGIX HOLDING AG-REG, ,38.799,39.9945,25.5367,26.9547,14.2142,9.1335,30.415,31.2768
CRTD US Equity,CREATD INC, , ,196.2305,16.5733,23.828,359.2028,684.6318,3428.1489,502.5022
CREX US Equity,CREATIVE REALITIES INC,40.894,20.5717,23.7825,32.905,52.5657,26.9779,14.6735,20.9829,31.2339
CRDO US Equity,CREDO TECHNOLOGY GROUP HOLDI,2.3047,3.9014,3.9418,0,0, , , , 
OPTI BB Equity,CRESCENT, ,14.844,15.7117,24.6399,26.0066,23.0136,18.2764,495.2739,935.0064
CXDO US Equity,CREXENDO INC,3.2616,3.8925,7.9358,3.6123,6.608,2.1457,4.3966,2.114,29.2103
CRCT US Equity,CRICUT INC - CLASS A,5.7154,2.1736,10.5465,1.9414,0,17.4456, , , 
CRWD US Equity,CROWDSTRIKE HOLDINGS INC - A,11.9292,15.5896,21.4106,28.5081,0,0,7.3361, , 
CFISH SS Equity,CRUNCHFISH AB,1.742,2.3044,0.5767,0.8733,1.7814,2.3538,0.6642,0,0
LAW US Equity,CS DISCO INC,5.1581,3.9564,4.2564,0.3441,2.6786,0, , , 
CSPI US Equity,CSP INC,6.7227,4.4732,6.8916,6.3026,14.5251,5.828,0,0,0
CTAC NA Equity,CTAC NV,12.1998,14.8082,16.092,18.6988,22.5806,15.1466,1.6232,5.4495,4.2348
CTS US Equity,CTS CORP,15.2839,13.0684,14.6108,11.2493,12.9474,19.8045,9.1184,14.1376,17.4052
CXAI US Equity,CXAPP INC,1.4873,1.3805,0,0,0, , , , 
CY4 IM Equity,CY4GATE SPA,24.6258,18.2149,0,0,0,18.5286,26.0416, , 
CYR GR Equity,CYAN AG,6.2813,4.9704,7.9273,13.2675,10.1851,0.6488,14.0441,1.1951,1.5392
CYAN LN Equity,CYANCONNODE HOLDINGS PLC,2.0502,6.5979,12.0295,15.8218, ,2.4484,0,0,0
CYBT CN Equity,CYBEATS TECHNOLOGIES CORP, , , , , , , , , 
CYBD US Equity,CYBER DIGITAL INC, , , , , , , , , 
CYPJ US Equity,CYBER OPERATIONS INC, , , , , , , , , 
CYB1 SS Equity,CYBER SECURITY 1 AB,30.563,2.1436,18.1459,20.1618,1.2735,2.7471,0,0,0
CYBE CN Equity,CYBERCATCH HOLDINGS INC,273.358, , , , , , , , 
CYRD US Equity,CYBERECORD INC, , , , , , , , , 
CYBF US Equity,CYBERFORT SOFTWARE INC, , , , , , ,31049.2324,1746.0133, 
CKYS US Equity,CYBERKEY SOLUTIONS INC, , , , , , , , , 
CLOQ US Equity,CYBERLOQ TECHNOLOGIES INC, , , , , , , , , 
CYB IM Equity,CYBEROO SPA,14.3014,15.1154,8.7566,12.8287,14.3215,7.1529,8.8592, , 
CYIO US Equity,CYIOS CORP, , , , , , , , , 
CYK LN Equity,CYKEL AI PLC, ,0,2.574, , , , , , 
CYN US Equity,CYNGN INC,1.0545,7.6731,1.4767,0,10.4159,0, , , 
CYVIZ NO Equity,CYVIZ AS,14.3178,12.157,3.4636,4.582,5.7699,35.1669,27.0468,18.2523,15.6403
DBO CN Equity,D-BOX TECHNOLOGIES INC,11.8456,15.4785,17.6018,11.5479,18.8158,14.3733,13.6607,12.9856,11.8817
QBTS US Equity,D-WAVE QUANTUM INC,39.6732,16.9014,41.3627,26.6084,0, , , , 
DTOL CN Equity,D2L INC,6.4477,7.3643,1.0562,4.8001,7.8224, , , , 
DGIF US Equity,D7 ENTERPRISES INC, , , , , , , , , 
DJCO US Equity,DAILY JOURNAL CORP,7.0883,21.4952,23.9512,8.597,13.0785,13.1976,11.9126,11.2648,14.0495
DAKT US Equity,DAKTRONICS INC,11.121,3.7919,0,0,0,0,0,0,0
MLDAM FP Equity,DAMARIS, , , , , , , , , 
DANTB DC Equity,DANTAX A/S-B SHS,2.056,0.2237,0,0.5332,0,0,0,0,0
DRIO US Equity,DARIOHEALTH CORP,25.3962,30.6477,23.532,0.2848,1.5025,3.1422,0,0,0
DPLS US Equity,DARKPULSE INC,91.3299,111.4504,33.2599,20.7188,433.7771,183.3728,95.338,5.9203,4.9699
DSY FP Equity,DASSAULT SYSTEMES SE,19.6978,24.6259,25.0801,31.4424,37.2842,38.1832,12.5408,14.2251,14.4029
DCM CN Equity,DATA COMMUNICATIONS MANAGEME,64.6689,61.4036,44.7207,53.8234,58.6996,67.2163,46.963,50.0557,50.7359
DTEV US Equity,DATA EVOLUTION HOLDINGS INC, , , , , , , , , 
DAIO US Equity,DATA I/O CORP,11.2135,5.4743,8.4631,9.9047,4.9273,6.5627,0,0,0
DAM GR Equity,DATA MODUL AG,8.8827,12.4563,15.8472,17.2003,12.2155,14.4274,3.8576,4.5313,2.9115
DTST US Equity,DATA STORAGE CORP,2.6639,2.4185,4.6206,5.6497,26.4653,21.6667,13.9887,20.2592,14.5338
ATDS US Equity,DATA443 RISK MITIGATION INC, ,115.0151,211.181,157.75,93.6712,104.679,43.4789, , 
DAC/H CN Equity,DATABLE TECHNOLOGY CORP, , ,16.9454,8.7186,4.161,18.0411,0,0,0
DDOG US Equity,DATADOG INC - CLASS A,31.8422,22.9248,27.8723,33.9275,34.049,5.8212,0,0, 
D6H GR Equity,DATAGROUP SE,37.7938,34.9161,38.309,41.9526,40.3284,41.0444,25.4823,29.9063,34.6643
DLE ID Equity,DATALEX PLC,3.8499,87.2386,40.8721,8.4186,104.8568,83.6163,3.7408,0.8665,1.2537
DLGI US Equity,DATALOGIC INTERNATIONAL INC, , , , , , , , , 
DAL IM Equity,DATALOGIC SPA,12.502,14.7256,17.6803,16.4065,19.9836,21.0881,25.1137,30.6775,23.6326
DM CN Equity,DATAMETREX AI LTD, ,16.2507,12.572,0.5951,5.1866,5.6879,4.7255,4.8482,0
DATA DC Equity,DATAPROCES GROUP A/S,7.136,8.8543,9.0596,15.4605,25.2195,6.4317, , , 
DTRK US Equity,DATATRAK INTERNATIONAL INC, , , , ,0,0,0,0,0
DVLT US Equity,DATAVAULT AI INC,10.1645,13.1868,3.9906,0,7.8414,0,0,359.758,408.9689
DATS US Equity,DATCHAT INC,0,1.286,1.1516,0.9844,5.6661,160.9215, , , 
DATA IM Equity,DATRIX SPA, ,9.353,5.8935,7.9515,15.155,8.1786, , , 
DAY US Equity,DAYFORCE INC,13.5319,13.8099,14.839,16.4411,10.6293,11.7653,12.773,16.6392,18.0541
DBA IM Equity,DBA GROUP SPA,22.2304,22.8189,26.8659,30.7579,38.4167,31.4872,29.7388,22.9122,16.2173
DLAD US Equity,DEALERADVANCE INC, , , , , , , , , 
ACT DC Equity,DECIDEACT A/S, ,32.4885,34.6117,20.3104, , ,0, , 
DECN US Equity,DECISION DIAGNOSTICS CORP, , , , , , , , , 
DPFD US Equity,DEEP FIELD TECHNOLOGIES-CL A, , , , , , , , , 
DSAI CN Equity,DEEPSPATIAL INC, ,53.9156,0,0, ,0,0,0,0
DFDV US Equity,DEFI DEVELOPMENT CORP,0.3184,0.9974,8.4204,0, , , , , 
DH US Equity,DEFINITIVE HEALTHCARE CORP,23.2343,14.6737,13.0057,12.7923,26.4632, , , , 
DGMA US Equity,DEGAMA SOFTWARE SOLUTIONS IN, , , , , , , , , 
DELL US Equity,DELL TECHNOLOGIES -C,32.6608,34.0114,30.1515,32.7732,45.3033,47.8635,41.7664,41.783,30.2092
DLPX US Equity,DELPHAX TECHNOLOGIES INC, , , , , , , , , 
DSG CN Equity,DESCARTES SYSTEMS GRP/THE,0.4733,0.5562,0.9626,1.2286,1.4222,3.8975,5.9212,0,0
FARM CN Equity,DEVERON CORP,71.9234, ,13.9523,8.5619,4.174,7.4646,0.5912,0,0
DEVPB SS Equity,DEVPORT AB,8.8738,4.9933,5.1856,8.0571,23.7918,27.8256,7.5257,2.1255,20.2742
DGB NA Equity,DGB GROUP NV, ,22.3967,10.1927,7.4614,1.7486,51.4232,17.1039,22.3292,0
DHH IM Equity,DHH SPA,28.3583,31.9303,31.6076,27.9657,24.648,3.0004,0.9386,1.3328,7.8156
DIAH SS Equity,DIADROM HOLDING AB,0,0,0,0,0,0,0,0,0
DBD US Equity,DIEBOLD NIXDORF INC,29.5499,32.7895,87.6509,68.3081,68.2233,60.9508,52.3187,35.4998,34.1214
DIGAF US Equity,DIGATRADE FINANCIAL CORP, , , , , , , , , 
DGII US Equity,DIGI INTERNATIONAL INC,16.8556,26.4401,30.2315,10.7823,3.9139,0,0,0,0
DIGIA FH Equity,DIGIA OYJ,18.2731,22.1067,19.9512,20.1419,22.2501,24.9343,16.3897,19.201,20.6146
DMRC US Equity,DIGIMARC CORP,7.9112,8.1637,6.0786,2.7329,7.7297,5.3983,0,0,0
DGLY US Equity,DIGITAL ALLY INC/NV,31.226,21.0958,3.1379,2.6254,4.0233,20.1576,0,32.4903,21.4561
DLOC US Equity,DIGITAL LOCATIONS INC, , , , , , , , , 
