Ticker,Name,Debt/Assets:2024,Debt/Assets:2023,Debt/Assets:2022,Debt/Assets:2021,Debt/Assets:2020,Debt/Assets:2019,Debt/Assets:2018,Debt/Assets:2017,Debt/Assets:2016
ACIW US Equity,ACI WORLDWIDE INC,31.6146,31.2484,35.3594,35.4763,35.6787,44.0508,31.65,36.8347,39.1063
ACMR US Equity,ACM RESEARCH INC-CLASS A,10.173,6.6467,6.4348,3.7199,14.6558,8.1028,9.1677,7.5209,10.7316
ACFN US Equity,ACORN ENERGY INC,0.9249,4.0558,5.615,7.332,13.2859,14.6669,0,3.3941,4.0693
EOS FP Equity,ACTEOS,39.076,26.1857,35.9219,44.0113,45.8282,32.8228,26.7572,27.3189,16.0254
AOM LN Equity,ACTIVEOPS PLC,1.0255,1.6406,2.6666,2.7756,33.954,16.7482,15.4755, , 
MLACT FP Equity,ACTIVIUM GROUP, ,20.0403,20.095,14.1312,34.0335,15.3085, , ,1.5963
ACRM LN Equity,ACUITY RM GROUP PLC, ,4.5611,0,0,0,0,0,0,43.1902
ACVA US Equity,ACV AUCTIONS INC-A,16.6729,14.2678,8.7524,0.3922,1.7058,0.6407, , , 
ANODB SS Equity,ADDNODE GROUP AB,20.1096,23.1902,17.2447,17.9547,21.6606,19.4068,17.7561,23.6443,8.9298
ADEA US Equity,ADEIA INC,44.2108,53.903,60.8244,31.29,34.1883,33.7745,39.0406,52.2207,49.1589
ADN1 GR Equity,ADESSO SE,41.2515,41.7265,37.2122,39.4663,38.1393,40.9656,21.2515,22.7575,25.8111
ALARF FP Equity,ADEUNIS RF SACA, ,25.4942,18.0423,14.4424, ,30.808,11.1188,23.4155,85.2815
ADMCM FH Equity,ADMICOM OYJ,9.7786,10.5502,26.3814,0,0,0,0,0,0
ADBE US Equity,ADOBE INC,20.0331,13.7009,17.055,17.1543,19.3873,19.9306,21.977,12.9436,14.9024
ADTN US Equity,ADTRAN HOLDINGS INC,18.8791,13.9161,7.7663,0.8785,1.0234,6.071,3.917,3.8261,4.0166
ADV GR Equity,ADTRAN NETWORKING SE,14.5104,6.7061,11.9819,12.1061,18.0862,21.517,18.392,20.8097,12.6878
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, ,0,0,0, ,0, , , 
ABX GR Equity,ADVANCED BLOCKCHAIN AG, , ,0,0, ,0,0,0,0
AMD US Equity,ADVANCED MICRO DEVICES,3.4033,4.5798,4.3741,5.8942,6.3825,12.077,27.4363,39.2736,43.2099
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , , , 
ADGO US Equity,ADVANTEGO CORP, , , , , ,35688.2461,693.9202,442.1361,211.0321
ADVE SS Equity,ADVENICA AB,9.0392,15.2743,6.5657,23.9028,15.208,22.5562,12.1275,0,0
AEHR US Equity,AEHR TEST SYSTEMS,4.8447,6.4192,1.614,22.2617,19.1601,0,19.7383,19.7786,59.347
ALMU US Equity,AELUMA INC,27.8338,6.4025, , ,0,0, , , 
AERT US Equity,AERIES TECHNOLOGY INC, , ,0.0851,0.0893, , , , , 
AERS US Equity,AERIUS INC, , , , , , , , , 
AMEN SM Equity,AETERNAL MENTIS,76.1668,76.6822,75.2895,77.217, , , , , 
ATHR US Equity,AETHER HOLDINGS INC,0,0, , , , , , , 
AFRN LN Equity,AFERIAN PLC,46.0207,28.3182,7.8493,1.4536,2.3188,6.0505,0,0,0
AFFN US Equity,AFFINITY NETWORKS INC, , , , , , , , , 
AFTM US Equity,AFTERMASTER INC, , , , , ,534.7397,329.6464,459.8362,279.4739
AGET CN Equity,AGEDB TECHNOLOGY LTD, ,0,0,0, , , , , 
