Ticker,Name,AZS
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, 
ADVCD US Equity,ADVANT-E CORPORATION,11.7667
ADVE SS Equity,ADVENICA AB,-2.6316
AEHR US Equity,AEHR TEST SYSTEMS,0.4008
AGHC US Equity,AEON GLOBAL HEALTH CORP,-19.8737
AERS US Equity,AERIUS INC, 
AFRN LN Equity,AFERIAN PLC,7.0261
AFFN US Equity,AFFINITY NETWORKS INC, 
AFTM US Equity,AFTERMASTER INC, 
AIFS US Equity,AGENT INFORMATION SOFTWARE I, 
AGIL SM Equity,AGILE CONTENT SA,-0.8048
AGILC DC Equity,AGILLIC A/S, 
AGYS US Equity,AGILYSYS INC,7.9721
AJX CN Equity,AGJUNCTION INC,-0.5875
AIRG US Equity,AIRGAIN INC,10.0989
IQ CN Equity,AIRIQ INC, 
2554116D US Equity,AIRSPAN NETWORKS INC,-6.9705
AISX CN Equity,AISIX SOLUTIONS INC,10.4952
AIXIAB SS Equity,AIXIA GROUP AB, 
AIXA GR Equity,AIXTRON SE,8.6886
AKAM US Equity,AKAMAI TECHNOLOGIES INC,4.5098
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,1.9948
NMI GR Equity,ALADDIN HEALTHCARE TECHNOLOG,673.8116
ALAN US Equity,ALANCO TECHNOLOGIES INC, 
ALMY US Equity,ALCHEMY CREATIVE INC, 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,8.0186
RIME US Equity,ALGORHYTHM HOLDINGS INC,1.1535
ALW IM Equity,ALGOWATT SPA,-0.1986
ALYA CN Equity,ALITHYA GROUP INC-CLASS A,3.2769
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,1.0005
A1OS GR Equity,ALL FOR ONE GROUP SE,4.8251
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, 
ADGL US Equity,ALLDIGITAL HOLDINGS INC,-9.9431
ADSV US Equity,ALLIED SECURITY INNOVATIONS,-128.0634
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,1.5729
NPA/H CN Equity,ALPHINAT INC,-47.9898
ALTR US Equity,ALTAIR ENGINEERING INC - A,5.3368
AHG CN Equity,ALTERNATE HEALTH CORP,-10.4913
AYX US Equity,ALTERYX INC - CLASS A,6.0466
ALC SM Equity,ALTIA CONSULTORES SA,7.1257
ATGN US Equity,ALTIGEN COMMUNICATIONS INC, 
ALT LN Equity,ALTITUDE GROUP PLC,20.0676
TXA GR Equity,AMATECH AG, 
AMBA US Equity,AMBARELLA INC,16.9867
DOX US Equity,AMDOCS LTD,8.2149
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI, 
AMWK US Equity,AMERISTAR NETWORK INC, 
ATVK US Equity,AMERITEK VENTURES,-313.9126
AMIDO SS Equity,AMIDO AB, 
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, 
AMKR US Equity,AMKOR TECHNOLOGY INC,1.7928
AMPD CN Equity,AMPD VENTURES INC, 
AMPG US Equity,AMPLITECH GROUP INC,2.2233
AMS SW Equity,AMS-OSRAM AG,2.4315
ASYS US Equity,AMTECH SYSTEMS INC,2.465
ALY CN Equity,ANALYTIXINSIGHT INC,25.4594
PLAN US Equity,ANAPLAN INC,10.637
ANDI US Equity,ANDIAMO CORP, 
ANDR US Equity,ANDREA ELECTRONICS CORP,-94.4481
ALANV FP Equity,ANEVIA SA,1.9869
ANON CN Equity,ANONYMOUS INTELLIGENCE COMPA,-29.1136
ANOT SS Equity,ANOTO GROUP AB,-30.1903
ANSS US Equity,ANSYS INC,22.4745
ATEX US Equity,ANTERIX INC,17.1116
APPF US Equity,APPFOLIO INC - A,20.1578
APGTQ US Equity,APPGATE INC, 
